,tractate,zraim,moed,nashim,nezikin,kodashim,taharot,wrong,total,ratio
1,berakhot,33,14,0,9,0,1,24,57,0.42105263157894735
2,bikkurim,28,6,3,0,0,2,11,39,0.28205128205128205
3,challah,29,1,2,3,2,1,9,38,0.23684210526315788
4,demai,42,5,1,3,0,2,11,53,0.20754716981132076
5,kilayim,61,7,1,2,3,3,16,77,0.2077922077922078
6,maaser_sheni,41,4,2,7,1,2,16,57,0.2807017543859649
7,maasrot,33,2,0,4,0,1,7,40,0.175
8,orlah,30,0,1,0,2,2,5,35,0.14285714285714285
9,peah,53,7,3,5,1,0,16,69,0.2318840579710145
10,sheviit,59,12,1,8,0,9,30,89,0.33707865168539325
11,terumot,85,7,2,4,0,3,16,101,0.15841584158415842
12,beitzah,7,26,0,5,1,3,16,42,0.38095238095238093
13,chagigah,4,13,0,4,0,2,10,23,0.43478260869565216
14,eruvin,5,76,3,7,0,5,20,96,0.20833333333333334
15,megillah,4,22,1,3,1,2,11,33,0.3333333333333333
16,moed_katan,1,20,0,3,0,0,4,24,0.16666666666666666
17,pesachim,12,53,1,8,8,7,36,89,0.4044943820224719
18,rosh_hashanah,2,22,0,6,3,2,13,35,0.37142857142857144
19,shabbat,14,106,1,9,5,4,33,139,0.23741007194244604
20,shekalim,5,34,1,1,8,3,18,52,0.34615384615384615
21,sukkah,2,39,1,1,4,6,14,53,0.2641509433962264
22,taanit,3,28,1,1,0,1,6,34,0.17647058823529413
23,yoma,2,36,2,6,11,4,25,61,0.4098360655737705
24,gittin,5,1,53,8,2,6,22,75,0.29333333333333333
25,ketubot,3,7,76,21,3,1,35,111,0.3153153153153153
26,kiddushin,4,5,28,6,1,3,19,47,0.40425531914893614
27,nazir,0,1,41,6,4,8,19,60,0.31666666666666665
28,nedarim,4,8,66,7,3,2,24,90,0.26666666666666666
29,sotah,4,8,36,12,2,5,31,67,0.4626865671641791
30,yevamot,3,3,107,9,2,4,21,128,0.1640625
31,avodah_zarah,7,4,4,30,0,5,20,50,0.4
32,bava_batra,9,7,12,55,1,2,31,86,0.36046511627906974
33,bava_kamma,4,6,1,62,5,1,17,79,0.21518987341772153
34,bava_metzia,9,12,7,67,2,4,34,101,0.33663366336633666
35,eduyot,10,11,9,21,2,21,53,74,0.7162162162162162
36,horayot,0,3,0,17,0,0,3,20,0.15
37,makkot,3,2,6,19,3,1,15,34,0.4411764705882353
38,sanhedrin,1,9,7,47,5,2,24,71,0.3380281690140845
39,shevuot,0,3,3,53,0,3,9,62,0.14516129032258066
40,avot,10,4,3,85,2,4,23,108,0.21296296296296297
41,arakhin,3,5,10,7,24,1,26,50,0.52
42,bekhorot,3,5,3,8,51,3,22,73,0.3013698630136986
43,chullin,3,9,1,6,38,17,36,74,0.4864864864864865
44,keritot,2,1,4,7,25,4,18,43,0.4186046511627907
45,kinnim,0,1,0,0,12,2,3,15,0.2
46,meilah,1,3,1,5,26,2,12,38,0.3157894736842105
47,menachot,4,16,5,1,60,7,33,93,0.3548387096774194
48,middot,0,7,0,3,22,2,12,34,0.35294117647058826
49,tamid,1,8,1,2,21,1,13,34,0.38235294117647056
50,temurah,2,2,1,4,26,0,9,35,0.2571428571428571
51,zevachim,2,3,1,6,83,6,18,101,0.1782178217821782
52,kelim,3,13,1,5,3,229,25,254,0.0984251968503937
53,makhshirin,2,0,0,1,1,50,4,54,0.07407407407407407
54,mikvaot,3,0,0,1,3,64,7,71,0.09859154929577464
55,negaim,2,9,0,2,9,93,22,115,0.19130434782608696
56,niddah,7,2,5,2,4,59,20,79,0.25316455696202533
57,oholot,2,4,1,2,2,123,11,134,0.08208955223880597
58,oktzin,2,0,0,1,2,23,5,28,0.17857142857142858
59,parah,0,14,1,3,7,71,25,96,0.2604166666666667
60,tahorot,1,1,0,2,3,85,7,92,0.07608695652173914
61,tevul_yom,2,0,1,0,0,23,3,26,0.11538461538461539
62,yadayim,2,0,0,4,1,15,7,22,0.3181818181818182
63,zavim,0,1,0,0,0,31,1,32,0.03125
