,tractate,zraim,moed,nashim,nezikin,kodashim,taharot,wrong,total,ratio
1,arakhin,4,5,4,10,25,2,25,50,0.5
2,bekhorot,1,5,3,4,58,2,15,73,0.2054794520547945
3,chullin,3,5,0,3,50,13,24,74,0.32432432432432434
4,keritot,1,2,6,3,30,1,13,43,0.3023255813953488
5,kinnim,0,0,0,0,15,0,0,15,0.0
6,meilah,3,0,1,1,32,1,6,38,0.15789473684210525
7,menachot,4,14,0,1,67,7,26,93,0.27956989247311825
8,middot,0,8,0,0,26,0,8,34,0.23529411764705882
9,tamid,1,10,0,1,22,0,12,34,0.35294117647058826
10,temurah,3,1,0,1,30,0,5,35,0.14285714285714285
11,zevachim,1,5,0,1,89,5,12,101,0.1188118811881188
12,beitzah,4,31,0,3,2,2,11,42,0.2619047619047619
13,chagigah,3,11,2,4,1,2,12,23,0.5217391304347826
14,eruvin,6,79,2,4,2,3,17,96,0.17708333333333334
15,megillah,1,28,0,3,0,1,5,33,0.15151515151515152
16,moed katan,2,20,1,0,1,0,4,24,0.16666666666666666
17,pesachim,15,58,1,4,8,3,31,89,0.34831460674157305
18,rosh hashanah,1,24,2,4,3,1,11,35,0.3142857142857143
19,shabbat,1,125,1,6,0,6,14,139,0.10071942446043165
20,shekalim,5,28,2,2,10,5,24,52,0.46153846153846156
21,sukkah,2,43,1,2,1,4,10,53,0.18867924528301888
22,taanit,4,27,2,0,1,0,7,34,0.20588235294117646
23,yoma,2,41,2,4,11,1,20,61,0.32786885245901637
24,gittin,4,0,64,4,0,3,11,75,0.14666666666666667
25,ketubot,1,0,98,7,4,1,13,111,0.11711711711711711
26,kiddushin,5,0,33,7,2,0,14,47,0.2978723404255319
27,nazir,0,1,46,5,4,4,14,60,0.23333333333333334
28,nedarim,4,2,80,4,0,0,10,90,0.1111111111111111
29,sotah,4,4,42,8,5,4,25,67,0.373134328358209
30,yevamot,1,2,119,3,2,1,9,128,0.0703125
31,avodah zarah,6,4,4,33,2,1,17,50,0.34
32,bava batra,5,5,8,64,3,1,22,86,0.2558139534883721
33,bava kamma,2,1,1,70,5,0,9,79,0.11392405063291139
34,bava metzia,10,4,4,78,4,1,23,101,0.22772277227722773
35,eduyot,3,7,8,47,2,7,27,74,0.36486486486486486
36,horayot,0,3,0,15,0,2,5,20,0.25
37,makkot,1,2,5,20,5,1,14,34,0.4117647058823529
38,sanhedrin,0,7,3,61,0,0,10,71,0.14084507042253522
39,shevuot,0,3,1,56,2,0,6,62,0.0967741935483871
40,avot,5,2,2,93,5,1,15,108,0.1388888888888889
41,kelim,2,6,0,2,1,243,11,254,0.04330708661417323
42,makhshirin,1,0,0,0,1,52,2,54,0.037037037037037035
43,mikvaot,2,0,0,0,0,69,2,71,0.028169014084507043
44,negaim,0,4,2,0,6,103,12,115,0.10434782608695652
45,niddah,1,2,4,2,1,69,10,79,0.12658227848101267
46,oholot,7,2,1,4,3,117,17,134,0.12686567164179105
47,oktzin,2,0,0,1,2,23,5,28,0.17857142857142858
48,parah,1,6,0,1,7,81,15,96,0.15625
49,tahorot,2,1,1,0,2,86,6,92,0.06521739130434782
50,tevul yom,2,0,1,0,1,22,4,26,0.15384615384615385
51,yadayim,3,1,0,2,0,16,6,22,0.2727272727272727
52,zavim,0,0,0,0,0,32,0,32,0.0
53,berakhot,40,4,4,7,1,1,17,57,0.2982456140350877
54,bikkurim,30,3,3,1,1,1,9,39,0.23076923076923078
55,challah,32,3,0,0,2,1,6,38,0.15789473684210525
56,demai,47,2,0,1,2,1,6,53,0.11320754716981132
57,kilayim,67,1,0,1,2,6,10,77,0.12987012987012986
58,maaser sheni,42,1,2,1,6,5,15,57,0.2631578947368421
59,maasrot,35,1,1,2,1,0,5,40,0.125
60,orlah,28,0,0,4,3,0,7,35,0.2
61,peah,65,0,1,3,0,0,4,69,0.057971014492753624
62,sheviit,72,6,1,4,1,5,17,89,0.19101123595505617
63,terumot,85,1,2,4,1,8,16,101,0.15841584158415842
