Column1,tractate,zraim,moed,nashim,nezikin,kodashim,taharot,wrong,total,ratio
33,eduyot,15,13,16,3,3,24,71,74,0.959459459
44,arakhin,3,12,12,13,5,5,45,50,0.9
32,nezikin,53,80,60,37,28,8,229,266,0.860902256
39,tamid,1,23,1,3,6,0,28,34,0.823529412
21,yoma,3,10,2,13,27,1,46,56,0.821428571
29,nedarim,26,13,17,28,6,0,73,90,0.811111111
6,berakhot,10,25,5,7,4,0,41,51,0.803921569
31,avodah_zarah,13,6,14,10,2,5,40,50,0.8
47,middot,0,19,1,5,7,2,27,34,0.794117647
34,sanhedrin_makkot,12,19,29,23,20,2,82,105,0.780952381
38,chullin,7,15,5,11,18,17,55,73,0.753424658
25,nazir,8,3,15,13,12,9,45,60,0.75
50,parah,3,18,5,3,11,15,40,55,0.727272727
43,keritot,2,3,7,6,11,11,29,40,0.725
23,chagigah,6,5,1,4,0,2,13,18,0.722222222
14,pesachim,16,21,5,12,17,4,54,75,0.72
41,bekhorot,12,9,11,17,21,2,51,72,0.708333333
53,niddah,6,7,8,5,8,15,34,49,0.693877551
27,sotah,6,19,21,12,6,3,46,67,0.686567164
8,kilayim,23,18,3,10,7,7,45,68,0.661764706
40,menachot,11,28,9,2,31,6,56,87,0.643678161
24,ketubot,12,14,40,39,5,1,71,111,0.63963964
17,eruvin,16,27,8,15,2,6,47,74,0.635135135
2,bikkurim,13,6,6,0,4,5,21,34,0.617647059
3,sheviit,32,22,5,10,1,10,48,80,0.6
16,shekalim,7,19,2,2,13,4,28,47,0.595744681
4,maaser_sheni,20,8,3,14,3,1,29,49,0.591836735
30,yevamot,9,11,54,30,17,7,74,128,0.578125
9,peah,26,7,2,19,4,2,34,60,0.566666667
28,kiddushin,6,7,21,6,2,5,26,47,0.553191489
36,horayot,2,7,0,9,2,0,11,20,0.55
26,gittin,12,3,34,16,4,5,40,74,0.540540541
35,shevuot,4,9,11,29,6,3,33,62,0.532258065
12,shabbat,24,56,1,24,7,7,63,119,0.529411765
5,terumot,43,20,5,12,4,4,45,88,0.511363636
18,moed_katan,4,10,1,3,2,0,10,20,0.5
19,beitzah,6,18,0,8,2,2,18,36,0.5
37,meilah,3,6,2,7,19,1,19,38,0.5
45,zevachim,10,13,2,10,50,15,50,100,0.5
51,mikvaot,5,7,0,3,4,20,19,39,0.487179487
57,oktzin,3,1,1,0,4,10,9,19,0.473684211
42,kinnim,0,3,3,0,8,1,7,15,0.466666667
13,sukkah,2,24,0,1,7,10,20,44,0.454545455
59,tevul_yom,3,1,1,0,0,6,5,11,0.454545455
56,makhshirin,8,2,0,2,0,18,12,30,0.4
15,rosh_hashanah,2,19,1,4,3,2,12,31,0.387096774
46,temurah,3,3,3,3,21,1,13,34,0.382352941
22,megillah,4,18,2,4,1,0,11,29,0.379310345
11,challah,20,4,1,3,2,2,12,32,0.375
7,demai,32,9,1,6,1,1,18,50,0.36
55,negaim,0,6,4,5,5,37,20,57,0.350877193
10,orlah,20,1,1,2,3,3,10,30,0.333333333
20,taanit,2,19,2,2,2,1,9,28,0.321428571
1,maasrot,24,3,2,6,0,0,11,35,0.314285714
48,tahorot,4,5,2,5,1,41,17,58,0.293103448
54,yadayim,1,0,0,0,1,6,2,8,0.25
58,zavim,2,1,0,2,0,15,5,20,0.25
52,oholot,2,4,2,6,3,56,17,73,0.232876712
49,kelim,7,23,1,2,3,122,36,158,0.227848101
