,tractate,zraim,moed,nashim,nezikin,kodashim,taharot,wrong,total,ratio
1,maasrot,13,15,1,3,1,2,22,35,0.6285714285714286
2,bikkurim,6,17,3,0,4,4,28,34,0.8235294117647058
3,sheviit,28,15,4,5,14,14,52,80,0.65
4,maaser_sheni,22,17,2,2,1,5,27,49,0.5510204081632653
5,terumot,41,25,3,5,7,7,47,88,0.5340909090909091
6,berakhot,16,20,1,7,1,6,35,51,0.6862745098039216
7,demai,19,13,6,5,0,7,31,50,0.62
8,kilayim,29,22,4,4,2,7,39,68,0.5735294117647058
9,peah,27,14,2,12,1,4,33,60,0.55
10,orlah,15,11,0,0,1,3,15,30,0.5
11,challah,10,15,1,3,1,2,22,32,0.6875
12,shabbat,23,63,3,10,8,12,56,119,0.47058823529411764
13,sukkah,5,34,1,1,2,1,10,44,0.22727272727272727
14,pesachim,13,33,1,7,10,11,42,75,0.56
15,rosh_hashanah,2,20,1,2,3,3,11,31,0.3548387096774194
16,shekalim,6,16,7,4,7,7,31,47,0.6595744680851063
17,eruvin,9,38,4,6,8,9,36,74,0.4864864864864865
18,moed_katan,1,10,1,1,2,5,10,20,0.5
19,beitzah,7,15,2,5,1,6,21,36,0.5833333333333334
20,taanit,2,19,2,3,0,2,9,28,0.32142857142857145
21,yoma,6,33,1,2,10,4,23,56,0.4107142857142857
22,megillah,6,15,1,2,4,1,14,29,0.4827586206896552
23,chagigah,3,11,1,2,1,0,7,18,0.3888888888888889
24,ketubot,10,14,54,15,11,7,57,111,0.5135135135135135
25,nazir,5,5,30,4,9,7,30,60,0.5
26,gittin,6,9,44,9,5,1,30,74,0.40540540540540543
27,sotah,5,32,15,4,5,6,52,67,0.7761194029850746
28,kiddushin,7,9,21,3,3,4,26,47,0.5531914893617021
29,nedarim,6,18,48,6,7,5,42,90,0.4666666666666667
30,yevamot,11,20,72,7,12,6,56,128,0.4375
31,avodah_zarah,5,13,1,15,9,7,35,50,0.7
32,nezikin,33,63,13,124,21,12,142,266,0.5338345864661654
33,eduyot,12,16,6,28,3,9,46,74,0.6216216216216216
34,sanhedrin_makkot,11,19,13,46,10,6,59,105,0.5619047619047619
35,shevuot,1,8,5,46,1,1,16,62,0.25806451612903225
36,horayot,0,7,1,10,1,1,10,20,0.5
37,meilah,0,4,1,2,28,3,10,38,0.2631578947368421
38,chullin,9,22,5,7,24,6,49,73,0.6712328767123288
39,tamid,4,17,0,2,9,2,25,34,0.7352941176470589
40,menachot,7,23,4,9,40,4,47,87,0.5402298850574713
41,bekhorot,11,16,5,8,28,4,44,72,0.6111111111111112
42,kinnim,2,3,2,0,8,0,7,15,0.4666666666666667
43,keritot,1,12,2,8,10,7,30,40,0.75
44,arakhin,4,16,7,8,9,6,41,50,0.82
45,zevachim,5,24,6,2,51,12,49,100,0.49
46,temurah,7,4,3,3,12,5,22,34,0.6470588235294118
47,middot,5,12,4,0,12,1,22,34,0.6470588235294118
48,tahorot,4,12,2,6,3,31,27,58,0.46551724137931033
49,kelim,17,49,4,7,9,72,86,158,0.5443037974683544
50,parah,9,21,3,2,5,15,40,55,0.7272727272727273
51,mikvaot,3,13,2,2,1,18,21,39,0.5384615384615384
52,oholot,10,10,5,2,5,41,32,73,0.4383561643835616
53,niddah,8,10,4,4,8,15,34,49,0.6938775510204082
54,yadayim,1,3,0,0,1,3,5,8,0.625
55,negaim,7,20,2,3,5,20,37,57,0.6491228070175439
56,makhshirin,4,6,2,1,1,16,14,30,0.4666666666666667
57,oktzin,5,4,2,0,3,5,14,19,0.7368421052631579
58,zavim,3,6,0,3,2,6,14,20,0.7
59,tevul_yom,4,1,1,0,1,4,7,11,0.6363636363636364
