Citation 1,Citation 2,Conection Type,Text 1,Text 2,Category 1,Category 2 
Mishnah Arakhin 1:3,Tosefta Arakhin 1:2,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 2:1-2,Tosefta Arakhin 1:4,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 2:4,Tosefta Arakhin 1:6,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 2:5-6,Tosefta Arakhin 2:1,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 3:2,Tosefta Arakhin 2:5,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 4:2,Tosefta Arakhin 2:7,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 5:1,Tosefta Arakhin 3:2,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 6:2,Tosefta Arakhin 4:3,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 6:3,Tosefta Arakhin 4:3,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 6:5-7:1,Tosefta Arakhin 4:3-4,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 7:1,Tosefta Arakhin 4:5,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 7:3,Tosefta Arakhin 4:6,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 7:4,Tosefta Arakhin 4:6,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 8:1,Tosefta Arakhin 4:8,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 8:2,Tosefta Arakhin 4:8,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 8:3,Tosefta Arakhin 4:9,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 8:4,Tosefta Arakhin 4:10,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 8:5,Tosefta Arakhin 4:12,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 8:7,Tosefta Ma'aser Sheni 3:4,mesorat hashas,Mishnah Arakhin,Tosefta Ma'aser Sheni,Mishnah,Tanaitic
Mishnah Arakhin 9:1,Tosefta Arakhin 5:1,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 9:2,Tosefta Arakhin 5:2,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 9:2-3,Tosefta Arakhin 5:5,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 9:8,Tosefta Arakhin 5:9,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Avodah Zarah 1:8,Tosefta Avodah Zarah 2:3,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 2:2,Tosefta Avodah Zarah 1:3,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 2:5,Tosefta Parah 10:2,mesorat hashas,Mishnah Avodah Zarah,Tosefta Parah,Mishnah,Tanaitic
Mishnah Avodah Zarah 3:3,Tosefta Avodah Zarah 6:1,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 3:3,Tosefta Avodah Zarah 4:3,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 3:4,Tosefta Avodah Zarah 6:2,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 3:6,Tosefta Zavim 5:6,mesorat hashas,Mishnah Avodah Zarah,Tosefta Zavim,Mishnah,Tanaitic
Mishnah Avodah Zarah 3:8,Tosefta Avodah Zarah 7:4,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 3:9,Tosefta Orlah 1:7,,Mishnah Avodah Zarah,Tosefta Orlah,Mishnah,Tanaitic
Mishnah Avodah Zarah 4:12,Tosefta Avodah Zarah 8:3,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 4:2,Tosefta Temurah 4:1,mesorat hashas,Mishnah Avodah Zarah,Tosefta Temurah,Mishnah,Tanaitic
Mishnah Avodah Zarah 4:2,Tosefta Avodah Zarah 7:6,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 4:7,Tosefta Avodah Zarah 7:3,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 5:9,Tosefta Uktsin 3:7,mesorat hashas,Mishnah Avodah Zarah,Tosefta Uktsin,Mishnah,Tanaitic
Mishnah Bava Batra 10:1,Tosefta Bava Batra 11:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 10:5,Tosefta Bava Metzia 1:9,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Batra 10:5,Tosefta Bava Metzia 1:10,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Batra 10:7,Tosefta Bava Batra 11:7,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 10:7,Tosefta Bava Batra 11:8,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:1,Tosefta Bava Batra 1:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:1,Tosefta Bava Batra 1:2,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:10,Tosefta Bava Batra 1:7,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:11,Tosefta Bava Batra 1:8,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:12,Tosefta Bava Batra 1:8,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:13,Tosefta Bava Batra 1:8,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:3,Tosefta Bava Batra 1:3,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:5,Tosefta Bava Batra 1:5-6,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:6,Tosefta Bava Batra 1:6,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 3:3,Tosefta Bava Batra 2:5,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 3:3,Tosefta Bava Kamma 8:2,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Batra 3:6,Tosefta Bava Batra 2:5,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 4:3,Tosefta Bava Batra 3:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 4:3-4,Tosefta Bava Batra 3:3-4,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 4:5-6,Tosefta Bava Batra 3:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 4:5-6,Tosefta Bava Batra 4:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 4:7-8,Tosefta Bava Batra 4:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 4:9,Tosefta Bava Batra 3:7,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
